species common name,species latin name,family,system,location,sample size,,%,conservation designation,secondary conservation,Red list category,trophic guild,migratory status,fish size [mm],life stage,journal,journal IF,study,
mulloway,Argyrosomus japonicus,Sciaenidae,marine,Australia,30,,,Y,MPA,EN,piscivory,resident,176,adult,"Estuarine, Coastal and Shelf Science",2.8,Becker et al. 2023,
dusky flathead,Platycephalus fuscus,Platycephalidae,marine,Australia,40,38,95,,,NE,piscivory,resident,229,juvenile,Fisheries Management and Ecology,2,Becker et al. 2023,
river blackfish,Gadopsis marmoratus,Percichthyidae,freshwater,Australia,27,,,Y,,LC,piscivory; invertivory,resident,317,adult,Restoration Ecology,3.2,O'Connor et al. 2023,
saratoga,Scleropages jardinii,Osteoglossidae,freshwater,Australia,24,24,100,N,PA,LC,invertivory,resident,457,adult,Environmental Biology of Fishes,1.6,Crook et al. 2023,
black bream,Hephaestus fuliginosus,Terapontidae,freshwater,Australia,26,26,100,N,PA,LC,omnivory,resident,289,adult,Environmental Biology of Fishes,1.6,Crook et al. 2023,
sharp-nose grunter,Syncomistes butleri,Terapontidae,freshwater,Australia,5,4,80,N,PA,LC,herbivory,resident,281,adult,Environmental Biology of Fishes,1.6,Crook et al. 2023,
black catfish,Neosilurus ater,Plotosidae,freshwater,Australia,9,8,89,N,PA,LC,invertivory,resident,256,,Environmental Biology of Fishes,1.6,Crook et al. 2023,
barred grunter,Amniataba percoides,Terapontidae,freshwater,Australia,8,5,63,N,PA,LC,omnivory,resident,118,,Environmental Biology of Fishes,1.6,Crook et al. 2023,
spangled perch,Leiopotherapon unicolor,Terapontidae,freshwater,Australia,6,1,17,N,PA,LC,omnivory,resident,106,,Environmental Biology of Fishes,1.6,Crook et al. 2023,
freshwater catfish,Tandanus tandanus,Plotosidae,freshwater,Australia,60,56,93,Y,,LC,piscivory; invertivory,resident,523,,Freshwater Biology,3.5,Carpenter-Bundhoo et al. 2023,
Murray cod,Maccullochella peelii,Percichthyidae,freshwater,Australia,40,36,90,Y,,LC,piscivory,resident,568,,Freshwater Biology,3.5,Carpenter-Bundhoo et al. 2023,
blue salmon catfish,Neoarius graeffei,Ariidae,freshwater,Australia,30,30,100,N,PA,LC,piscivory; invertivory,resident,436,adult,Estuaries and Coasts,2.8,Stoot et al. 2023,
Australian bass,Percalates novemaculeata,Percichthyidae,freshwater,Australia,9,9,100,Y,,LC,piscivory,catadromous,312,adult,Marine and Freshwater Research,1.8,Brown & Byrnes 2022,
yellowtail kingfish,Seriola lalandi,Carangidae,marine,Australia,17,,,N,PA,LC,piscivory; invertivory,resident,,,Marine Ecology Progress Series,2.6,Clarke et al. 2022,
yellowtail kingfish,Seriola lalandi,Carangidae,marine,Australia,40,37,93,N,PA,LC,piscivory; invertivory,resident,361,,Bulletin of Marine Science,1.632,Becker et al. 2021,
Eastern Freshwater Cod,Maccillochella ikei,Percichthyidae,freshwater,Australia,27,,,Y,,EN,piscivory; invertivory,resident,475,,Marine and Freshwater Research,1.8,Carpenter-Bundhoo et al. 2021,
freshwater catfish,Tandanus tandanus,Plotosidae,freshwater,Australia,31,,,Y,,LC,piscivory; invertivory,resident,501,,Marine and Freshwater Research,1.8,Carpenter-Bundhoo et al. 2021,
Grey reef shark,Carcharhinus amblyrhynchos,Carcharhinidae,marine,Australia,183,172,94,N,"MPA, PA",EN,piscivory; invertivory,resident,1900,,Fish and Fisheries,6.7,Ledee et al. 2021,
bull shark,Carcharhinus leucas,Carcharhinidae,marine,Australia,149,138,93,Y,,VU,piscivory,resident,4000,,Fish and Fisheries,6.7,Ledee et al. 2021,
blacktip reef shark,Carcharhinus melanopterus,Carcharhinidae,marine,Australia,173,167,97,N,PA,VU,piscivory,resident,1800,,Fish and Fisheries,6.7,Ledee et al. 2021,
dusky shark,Carcharhinus obscurus,Carcharhinidae,marine,Australia,86,75,87,Y,,EN,piscivory,resident,3500,,Fish and Fisheries,6.7,Ledee et al. 2021,
white shark,Carcharodon carcharias,Lamnidae,marine,Australia,233,214,92,Y,,VU,piscivory,resident,355.5,,Fish and Fisheries,6.7,Ledee et al. 2021,
tiger shark,Carcharias taurus,Carcharhinidae,marine,Australia,48,42,88,Y,,CR,piscivory,resident,6000,,Fish and Fisheries,6.7,Ledee et al. 2021,
school shark,Galeorhinus galeus,Triakidae,marine,Australia,29,15,52,Y,,CR,piscivory; invertivory,resident,1600,,Fish and Fisheries,6.7,Ledee et al. 2021,
yellowfin bream,Acanthopagrus australis,Sparidae,marine,Australia,124,112,90,Y,,LC,piscivory; invertivory,resident,300,,Fish and Fisheries,6.7,Ledee et al. 2021,
pink snapper,Chrysophrys auratus,Sparidae,marine,Australia,169,142,84,N,PA,LC,piscivory; invertivory,resident,1020,,Fish and Fisheries,6.7,Ledee et al. 2021,
Luderick,Girella tricuspidata,Girellidae,marine,Australia,66,56,85,,PA,NE,filter feeder; herbivory,resident,370,,Fish and Fisheries,6.7,Ledee et al. 2021,
Spangled emperor,Lethrinus nebulosus,Lethrinidae,marine,Australia,109,97,89,Y,,LC,piscivory; invertivory,resident,550,,Fish and Fisheries,6.7,Ledee et al. 2021,
Sand flathead,Platycephalus sp.,Platycephalidae,marine,Australia,17,7,41,,,NE,piscivory; invertivory,resident,340,,Fish and Fisheries,6.7,Ledee et al. 2021,
Bluespotted flathead,Platycephalus caeruleopunctatus,Platycephalidae,marine,Australia,61,48,79,,,NE,invertivory,resident,390,,Fish and Fisheries,6.7,Ledee et al. 2021,
yellowtail kingfish,Seriola lalandi,Carangidae,marine,Australia,44,40,91,N,PA,LC,piscivory; invertivory,resident,1250,,Fish and Fisheries,6.7,Ledee et al. 2021,
whale shark,Rhincodon typus,Rhincodontidae,marine,Australia,40,2,5,Y,,EN,piscivory,resident,,,Frontiers in Marine Science,3.7,Thomson et al. 2021,
dwarf sawfish,Pristis clavata,Pristidae,marine,Australia,17,17,100,Y,,CR,,resident,1592,,Aquatic Conservation: Marine and Freshwater Ecosystems,3.54,Morgan et al. 2021,
red emperor snapper,Lutjanus sebae,Lutjanidae,marine,Australia,389,66,17,Y,PA,LC,piscivory; invertivory,resident,483.5,,Proceedings of the National Academy of Sciences of the United States of america,12,Meekan et al. 2021,
reef manta ray,Mobula alfredi,Mobulidae,marine,Australia,42,34,81,Y,MPA,VU,filter feeder,resident,,adult,Ecology and Evolution,2.6,Armstrong et al. 2021,
